"S.No","File Code","Asset family linked","Components","Services linked"
"254","7-48ZAUS-TOOL","wl_7-48ZAUS-TOOL","0","Wireline"
"255","7-48ZAXXS","wl_7-48ZAXXS","0","Wireline"
"256","7-48ZAXXS-TOOL","wl_7-48ZAXXS-TOOL","0","Wireline"
"257","7-48ZUS","wl_7-48ZUS","0","Wireline"
"258","7-48ZUS-TOOL","wl_7-48ZUS-TOOL","0","Wireline"
"259","7-48ZXXS","wl_7-48ZXXS","0","Wireline"
"260","7-48ZXXS-TOOL","wl_7-48ZXXS-TOOL","0","Wireline"
"261","7-49AK-XS-FO","wl_7-49AK-XS-FO","0","Wireline"
"262","7-49AK-XS-FO-TOOL","wl_7-49AK-XS-FO-TOOL","0","Wireline"
"263","7-50AK-XXS-SSC-FO","wl_7-50AK-XXS-SSC-FO","0","Wireline"
"264","7-50AK-XXS-SSC-FO-TOOL","wl_7-50AK-XXS-SSC-FO-TOOL","0","Wireline"
"265","7-50KA-US-SSC","wl_7-50KA-US-SSC","0","Wireline"
"266","7-50KA-US-SSC-TOOL","wl_7-50KA-US-SSC-TOOL","0","Wireline"
"267","7-50KA-XXS-SSC-FO","wl_7-50KA-XXS-SSC-FO","0","Wireline"
"268","7-50KA-XXS-SSC-FO-TOOL","wl_7-50KA-XXS-SSC-FO-TOOL","0","Wireline"
"269","7-52A-SUSP-HP","wl_7-52A-SUSP-HP","0","Wireline"
"270","7-52A-SUSP-HP-TOOL","wl_7-52A-SUSP-HP-TOOL","0","Wireline"
"271","7-52A-XXS","wl_7-52A-XXS","0","Wireline"
"272","7-52A-XXS-TOOL","wl_7-52A-XXS-TOOL","0","Wireline"
"273","7-52A16_SUS","wl_7-52A16_SUS","0","Wireline"
"274","7-52A16_SUS-TOOL","wl_7-52A16_SUS-TOOL","0","Wireline"
"275","7-52AXXS","wl_7-52AXXS","0","Wireline"
"276","7-52AXXS-TOOL","wl_7-52AXXS-TOOL","0","Wireline"
"277","7-52P","wl_7-52P","0","Wireline"
"278","7-52P-TOOL","wl_7-52P-TOOL","0","Wireline"
"279","7-52ZV","wl_7-52ZV","0","Wireline"
"280","7-52ZV-TOOL","wl_7-52ZV-TOOL","0","Wireline"
"281","7-52ZVI","wl_7-52ZVI","0","Wireline"
"282","7-52ZVI-TOOL","wl_7-52ZVI-TOOL","0","Wireline"
"283","7-53A-XTS-SSC","wl_7-53A-XTS-SSC","0","Wireline"
"284","7-53A-XTS-SSC-TOOL","wl_7-53A-XTS-SSC-TOOL","0","Wireline"
"285","7-53A-XXS-FH-SSC","wl_7-53A-XXS-FH-SSC","0","Wireline"
"286","7-53A-XXS-FH-SSC-TOOL","wl_7-53A-XXS-FH-SSC-TOOL","0","Wireline"
"287","7-53AKZ-US-FH-SSC","wl_7-53AKZ-US-FH-SSC","0","Wireline"
"288","7-53AKZ-US-FH-SSC-TOOL","wl_7-53AKZ-US-FH-SSC-TOOL","0","Wireline"
"289","7-53AZK-US-FH-SSC","wl_7-53AZK-US-FH-SSC","0","Wireline"
"290","7-53AZK-US-FH-SSC-TOOL","wl_7-53AZK-US-FH-SSC-TOOL","0","Wireline"
"291","7-53KA-2E-SSC","wl_7-53KA-2E-SSC","0","Wireline"
"292","7-53KA-2E-SSC-TOOL","wl_7-53KA-2E-SSC-TOOL","0","Wireline"
"293","75K-PIN-48IN-SHV","wl_75K-PIN-48IN-SHV","0","Wireline"
